Mode;size;Selection Sort;Bubble Sort;Bubble Sort Iverson 1;Bubble Sort Iverson 2;Insertion Sort;Binary Insertion Sort;Counting Sort;Radix Sort;Merge Sort;QuickSort Hoare partition;QuickSort Lomuto partition;HeapSort;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;100;34;88;67;85;46;37;69;37;60;35;34;36;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;200;58;212;211;222;108;60;51;40;101;43;46;60;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;300;140;516;550;291;220;88;51;25;102;50;57;76;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;400;167;505;522;531;317;101;43;71;235;57;53;88;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;500;384;1080;1068;934;631;257;33;78;352;74;73;112;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;600;624;1749;2001;1983;1439;366;68;93;263;110;108;177;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;700;924;1749;1766;1862;1102;245;36;39;188;408;101;153;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;800;893;2539;2313;2906;1955;442;45;50;226;99;100;163;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;900;951;2902;3370;4266;2147;397;37;48;256;167;107;170;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;1000;1369;3777;4326;2991;2113;756;70;86;408;178;168;258;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;1100;1846;5003;5509;4716;3465;570;78;137;368;154;167;261;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;1200;1906;5470;5586;5206;4127;713;40;73;346;150;345;222;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;1300;1951;6265;6067;6751;5484;1079;47;85;443;189;202;282;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;1400;2622;7732;8662;11232;6147;1159;73;87;827;177;180;684;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;1500;2895;9256;9351;10056;6000;1162;51;86;549;186;185;298;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;1600;2882;10932;9951;9528;6461;1982;65;87;438;196;220;302;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;1700;3468;11400;12428;11570;6528;1324;144;130;646;300;338;334;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;1800;3920;12962;15195;14107;7472;1270;101;132;687;405;362;565;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;1900;6635;14552;15439;15521;9043;1482;70;130;640;310;276;436;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;2000;5236;15745;15947;17139;10705;2024;49;100;538;277;305;511;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;2100;6896;17693;17353;17863;12416;2293;60;131;1165;281;306;501;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;2200;5952;19170;20302;19221;12551;2725;66;162;908;679;348;667;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;2300;6314;21645;20908;23606;14298;3219;75;283;776;302;327;706;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;2400;6749;24977;28480;23677;14448;2699;61;134;790;411;359;520;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;2500;7957;27743;28475;30965;16239;3015;67;149;857;358;466;561;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;2600;8909;30445;30592;27911;17073;2759;54;248;897;669;413;664;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;2700;9177;32682;30217;33107;19408;4112;72;157;1246;339;377;588;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;2800;13104;34736;35558;33238;20219;3802;84;121;764;305;638;617;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;2900;11476;37244;35777;39332;24646;4330;63;137;802;451;530;746;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;3000;10842;38127;41717;43450;24567;6904;86;192;1570;428;551;884;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;3100;11704;41845;41050;41294;24333;4556;69;164;1250;500;489;831;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;3200;13171;47133;44458;47543;27692;5006;70;163;1039;456;501;811;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;3300;14855;49015;51529;54514;32492;5071;254;282;818;815;548;812;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;3400;14491;50390;52239;54618;31882;5463;84;164;950;526;577;711;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;3500;16569;57091;57363;57701;35624;6526;78;197;1078;474;529;951;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;3600;21600;58170;59007;62535;33639;6099;86;403;2174;517;529;825;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;3700;18016;61079;64590;62590;39690;6860;82;347;1484;543;580;943;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;3800;18256;65804;64192;63038;36749;6850;83;213;1197;493;544;1168;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;3900;22647;74339;69681;68075;41220;7131;84;240;1418;552;663;876;;;;;;;;;;;;;;;;;;;;;;;;;;
Reversed sorted;4000;19955;75796;72717;74790;47126;7667;74;255;1085;555;701;1187;;;;;;;;;;;;;;;;;;;;;;;;;;
