Mode;size;Selection Sort;Bubble Sort;Bubble Sort Iverson 1;Bubble Sort Iverson 2;Insertion Sort;Binary Insertion Sort;Counting Sort;Radix Sort;Merge Sort;QuickSort Hoare partition;QuickSort Lomuto partition;HeapSort;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;1400;2019;6075;6748;6624;4356;900;45;112;513;155;160;261;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;1500;2205;9427;7347;7248;5130;1273;46;107;509;181;199;300;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;1600;2987;9877;9213;8018;5791;1348;46;109;537;184;195;286;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;1700;3042;9724;9201;8816;6222;1290;55;118;390;235;214;315;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;1800;3735;10492;10385;11678;8655;1729;51;104;602;221;218;344;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;1900;3567;13158;11380;11184;7597;1392;46;83;447;203;222;344;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;2000;4038;12414;12352;12431;7809;1649;47;91;470;208;220;362;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;2100;4245;13825;13796;13897;8676;1678;48;96;506;222;240;405;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;2200;4655;15652;15045;15193;9650;1811;48;91;602;233;241;409;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;2300;5322;16653;16484;16509;10447;1918;867;96;559;245;260;427;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;2400;5623;18222;19771;17955;11175;2104;54;98;584;256;276;446;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;2500;6151;20863;21360;20730;13327;2345;52;103;602;265;291;581;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;2600;6576;22236;22551;21985;14813;2763;53;115;637;322;301;499;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;2700;7058;24027;23388;24304;15015;2638;54;113;658;290;298;512;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;2800;7827;26907;25746;26147;15624;2840;56;115;690;303;326;573;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;2900;8103;27548;27382;27353;16742;3119;57;122;704;310;351;553;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;3000;8779;29395;28910;29423;17722;3335;59;123;803;332;372;583;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;3100;9457;31581;31394;31333;18737;3440;56;128;744;333;385;603;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;3200;9850;34088;33498;35179;21562;3784;59;210;787;403;576;631;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;3300;12003;38515;39118;37175;24874;3913;65;135;846;361;407;964;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;3400;12056;38801;38896;38780;23573;4970;71;144;948;379;439;661;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;3500;12101;43203;41024;41920;24458;5955;60;142;843;382;414;809;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;3600;12710;44350;46232;58941;28028;5382;60;193;993;561;451;779;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;3700;13239;46125;45896;53682;28795;5080;64;149;908;403;457;725;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;3800;15007;48045;50945;48223;27865;5626;63;155;919;419;501;753;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;3900;14648;52277;52908;52350;33577;5910;69;159;948;432;477;776;;;;;;;;;;;;;;;;;;;;;;;;;;
Almost Sorted;4000;15967;55197;54792;54836;34246;5962;83;166;1069;798;489;799;;;;;;;;;;;;;;;;;;;;;;;;;;
